"V1" "V2" "V3"
0.192340812860867 0.123012407700341 0.464142318288797
0.538604031371527 0.259121267490758 0.0670505633340696
0.132506739808103 0.087238799187032 0.622466242137589
0.261739533160925 0.0675108190810859 0.474411229072508
0.34457023561893 0.109435319489366 0.344580574328377
0.352416646309507 0.324129492251322 0.137950754890251
0.334544265470361 0.173884580806929 0.286843005941605
0.456195139992012 0.311023140785742 0.0714811580674873
0.413980306168988 0.0209830995824821 0.448400084771617
0.81561539732549 0.0122006401375497 0.0999213275035756
0.132508762825920 0.509977438054323 0.160662024239858
0.301124537729766 0.123949035257440 0.320699131840781
0.209385985732315 0.249259140701764 0.274994051985205
0.0651862894512379 0.827064324529293 0.0181361574740371
0.0703059010616201 0.291622967258633 0.4661073916704
0.482510415795358 0.18364113085442 0.106118717194235
0.138188005773515 0.570244487060775 0.135594563927931
0.0950169805109479 0.138183280530120 0.604089182527997
0.167427119852851 0.60831641123589 0.061666172679494
0.355962351961968 0.0434990997283198 0.38728899241072
0.359706771563922 0.238157570901479 0.215431451613907
0.306243824735944 0.129945061099788 0.341420490772628
0.241813233403947 0.0894018745482254 0.498369949547182
0.246672706166832 0.342646078073136 0.175188520178008
0.197513527908055 0.0747436207154675 0.544859827212721
0.0190358490477116 0.534825281648542 0.354043640511118
0.41151437067297 0.115468396230358 0.247807238569258
0.660158968191845 0.107782472691163 0.0404642803286267
0.109271340063334 0.33068312178588 0.309984042469405
0.660275847218696 0.101238701187490 0.06378824455115
0.17441807882207 0.118849714651501 0.522386810403265
0.507162252901683 0.228656496609636 0.124435822584915
0.661786335210425 0.0984350393308387 0.088884756632248
0.146422100532058 0.397606777219656 0.247193266771206
0.174533174748960 0.505931443591387 0.127374947284740
0.00793428108040826 0.0362836936979419 0.921345329221055
0.62136911307387 0.117996437503563 0.112460418809933
0.106001606326663 0.0389425590920694 0.67646980574715
0.168445054615277 0.0171982522616513 0.67629441113654
0.0813715608614121 0.0718993726480071 0.660152500233985
0.285765239102854 0.261610123236861 0.303700381292695
0.0774420340528142 0.155573012138252 0.614545187380232
0.173962965253379 0.318194206956225 0.257630688305425
0.383379873314655 0.397573902268132 0.0502208863849046
0.134207073038843 0.239692457931843 0.467263812772770
0.454913924732151 0.176227234218422 0.211443833670772
0.228592533065175 0.0587222261823758 0.534221176781227
0.127871227959202 0.598339644141971 0.090759748605848
0.224788604676057 0.381147246781662 0.213427812027737
